MONTH,HOUR,WEEKDAY,SEASON,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,SNOWFALL,RENTCOUNT
1,22,4,3,-10.6,0.0,0.4,70.0,13.4,0.0
1,23,4,3,-11.6,0.0,0.5,73.0,13.4,0.0
1,0,5,3,-12.0,0.0,0.4,76.0,13.4,0.0
1,1,5,3,-12.4,0.0,1.4,79.0,13.4,0.0
1,2,5,3,-13.0,0.0,1.0,82.0,13.4,0.0
1,3,5,3,-13.0,0.0,0.1,82.0,13.4,0.0
1,4,5,3,-13.5,0.0,0.7,85.0,13.4,0.0
1,5,5,3,-14.1,0.0,1.1,86.0,13.4,0.0
1,6,5,3,-14.5,0.0,1.1,86.0,13.4,0.0
1,7,5,3,-14.8,0.0,1.6,89.0,13.4,0.0
1,8,5,3,-15.1,0.0,0.4,88.0,13.4,0.0
1,9,5,3,-13.3,0.0,1.0,85.0,13.4,0.0
1,10,5,3,-9.8,0.0,0.4,70.0,13.4,0.0
1,11,5,3,-6.8,0.0,0.5,55.0,13.4,0.0
1,12,5,3,-3.5,0.0,0.5,50.0,13.2,1.0
1,13,5,3,-1.8,0.0,0.3,49.0,13.1,0.0
1,14,5,3,0.3,0.0,1.1,46.0,12.9,0.0
1,15,5,3,-0.2,0.0,2.7,57.0,12.7,0.0
1,16,5,3,-0.2,0.0,2.0,58.0,12.6,0.0
1,17,5,3,-1.3,0.0,1.5,64.0,12.6,0.0
1,18,5,3,-1.8,0.0,1.2,69.0,12.6,0.0
1,19,5,3,-2.7,0.0,0.7,67.0,12.6,0.0
1,20,5,3,-3.5,0.0,0.4,71.0,12.6,1.0
1,21,5,3,-3.3,0.0,0.7,74.0,12.6,0.0
1,22,5,3,-4.2,0.0,0.8,78.0,12.6,0.0
1,23,5,3,-5.0,0.0,1.0,83.0,12.6,0.0
1,0,6,3,-5.1,0.0,1.8,84.0,12.6,0.0
1,1,6,3,-5.6,0.0,1.4,87.0,12.6,0.0
1,2,6,3,-6.4,0.0,1.1,88.0,12.6,0.0
1,3,6,3,-7.1,0.0,0.1,90.0,12.6,0.0
1,4,6,3,-7.3,0.0,1.0,90.0,12.6,0.0
1,5,6,3,-7.7,0.0,0.6,92.0,12.6,0.0
1,6,6,3,-7.9,0.0,0.4,92.0,12.6,0.0
1,7,6,3,-8.0,0.0,1.5,94.0,12.6,2.0
1,8,6,3,-7.7,0.0,1.3,94.0,12.6,0.0
1,9,6,3,-6.8,0.0,0.6,91.0,12.6,1.0
1,10,6,3,-4.2,0.0,0.3,78.0,12.6,0.0
1,11,6,3,-2.2,0.0,1.2,64.0,12.6,0.0
1,12,6,3,-1.9,0.0,1.6,52.0,12.6,0.0
1,13,6,3,-0.9,0.0,1.7,46.0,12.5,1.0
1,14,6,3,-0.7,0.0,1.5,38.0,12.5,1.0
1,15,6,3,0.6,0.0,1.4,35.0,12.4,1.0
1,16,6,3,0.5,0.0,1.4,38.0,12.4,0.0
1,17,6,3,-0.9,0.0,1.4,45.0,12.4,1.0
1,18,6,3,-2.3,0.0,1.6,54.0,12.4,0.0
1,19,6,3,-4.1,0.0,0.8,48.0,12.4,1.0
1,20,6,3,-5.1,0.0,0.3,45.0,12.4,0.0
1,21,6,3,-5.6,0.0,0.3,45.0,12.4,0.0
1,22,6,3,-6.6,0.0,1.1,53.0,12.4,0.0
1,23,6,3,-7.8,0.0,1.3,68.0,12.4,0.0
1,0,0,3,-8.0,0.0,0.6,69.0,12.4,0.0
1,1,0,3,-9.0,0.0,1.3,71.0,12.4,0.0
1,2,0,3,-9.6,0.0,1.3,76.0,12.4,0.0
1,3,0,3,-9.8,0.0,0.1,78.0,12.4,0.0
1,4,0,3,-10.2,0.0,2.0,82.0,12.4,0.0
1,5,0,3,-10.6,0.0,0.8,82.0,12.4,0.0
1,6,0,3,-10.4,0.0,1.0,84.0,12.4,0.0
1,7,0,3,-10.2,0.0,0.8,83.0,12.4,0.0
1,8,0,3,-10.1,0.0,0.7,86.0,12.4,0.0
1,9,0,3,-8.2,0.0,0.6,77.0,12.4,0.0
1,10,0,3,-6.2,0.0,0.4,68.0,12.4,0.0
1,11,0,3,-4.0,0.0,1.3,50.0,12.3,0.0
1,12,0,3,-2.1,0.0,1.0,45.0,12.2,0.0
1,13,0,3,-0.3,0.0,1.5,36.0,12.1,0.0
1,14,0,3,0.5,0.0,0.9,35.0,12.0,0.0
1,15,0,3,1.0,0.0,1.5,42.0,11.9,2.0
1,16,0,3,0.1,0.0,2.3,47.0,11.7,0.0
1,17,0,3,-0.5,0.0,0.5,52.0,11.7,0.0
1,18,0,3,-1.5,0.0,1.2,58.0,11.7,0.0
1,19,0,3,-2.5,0.0,0.8,64.0,11.7,1.0
1,20,0,3,-3.0,0.0,0.8,67.0,11.7,0.0
1,21,0,3,-3.6,0.0,0.8,69.0,11.7,0.0
1,22,0,3,-4.1,0.0,0.2,71.0,11.7,0.0
1,23,0,3,-4.7,0.0,1.2,75.0,11.7,0.0
1,0,1,3,-5.6,0.0,0.1,78.0,11.7,0.0
1,1,1,3,-6.4,0.0,0.3,82.0,11.7,0.0
1,2,1,3,-7.0,0.0,1.1,86.0,11.7,0.0
1,3,1,3,-7.5,0.0,1.4,88.0,11.7,0.0
1,4,1,3,-8.1,0.0,0.6,87.0,11.7,0.0
1,5,1,3,-8.6,0.0,0.7,90.0,11.7,0.0
1,6,1,3,-8.8,0.0,1.1,91.0,11.7,0.0
1,7,1,3,-9.1,0.0,0.5,91.0,11.7,0.0
1,8,1,3,-9.1,0.0,0.9,92.0,11.7,0.0
1,9,1,3,-7.9,0.0,0.3,87.0,11.7,0.0
1,10,1,3,-5.3,0.0,0.4,80.0,11.7,0.0
