번호,키오스크번호,구별,명칭,위치,주소,거치대,좌표
80,80,대덕구, 송촌소방서앞,송촌소방서 버스정류장 앞, 대덕구 송촌동 539,12,"36.363617, 127.441809"
81,81,대덕구, 동춘당공원,동춘당 공원 버스정류장 앞, 대덕구 송촌동 192-2,14,"36.364663, 127.440966"
82,82,대덕구, 선비마을 5단지 앞,선비마을5단지 버스정류장 앞, 대덕구 송촌동 510,12,"36.366840, 127.445945"
83,83,중구, 유평초등학교 앞,유평초등학교 후문 버스정류장 앞/ 유등마을 아파트 112동 맞은편, 중구 태평동 254-15,12,"36.330503, 127.398008"
84,84,중구, 강남한의원 앞,강남한의원 버스정류장 앞, 중구 태평2동 409-21,12,"36.326242, 127.392813"
85,85,중구, 태평1동 주민센터 앞,태평 1동 주민센터 버스정류장 앞, 중구 태평동 331-41,12,"36.326129, 127.396967"
86,86,중구, 삼부프라자 앞,삼부프라자 앞, 중구 태평2동 395-1,12,"36.323268, 127.393631"
87,87,중구, 쌍용예가아파트앞,쌍용예가아파트 정문 앞, 중구 유천동 198-15,14,"36.322555, 127.397450"
88,88,중구, 태평초등학교 앞,삼부아파트6동 건너편/현암 에버드림아파트 복합상가 앞, 중구 유천동 319-1,12,"36.322041, 127.395508"
89,89,중구, 버드내초등학교 앞,버드내아파트 201동 앞, 중구 태평동 422-33,12,"36.319017, 127.392056"
90,90,중구, 유등교,버드내아파트 101동 버스정류장 앞, 중구 유천동 338-13,12,"36.315687, 127.387821"
91,91,중구, 버드내네거리,유천동 하이마트에서 세이 방향/SK주유소 맞은편 버스정류장 (해물탕식당), 중구 유천동 306-18,10,"36.316915, 127.392467"
92,92,중구, 서대전농협,유천동 서대전농협 앞, 중구 유천동 308-7,12,"36.317900, 127.394698"
93,93,중구, 서대전육교 앞,유천동 벽산 프라자 맞은편/ 기아모터스 앞, 중구 유천동 186-7,12,"36.318994, 127.400953"
94,94,동구, 미리내아파트앞,판암 기아자동차 버스정류장 앞, 동구 판암동 451-10,12,"36.316962, 127.454608"
95,95,동구, 판암역 1번출구,판암역 1번출구, 동구 판암동 323-2,12,"36.316915, 127.459173"
96,96,동구, 판암역 4번출구,판암역 4번출구, 동구 판암동 303-25,12,"36.317217, 127.459050"
97,97,동구, 가오고등학교 앞,동구청 맞은 편, 동구 가오동 465,11,"36.310388, 127.455611"
98,98,동구, 은어송마을입구,가오 주공아파트 부근/신협 가오점 옆, 동구 가오동 217-4,12,"36.305423, 127.454544"
99,99,동구, 홈플러스(가오점 건너편),가오동 홈플러스 건너편, 동구 가오동 644,13,"36.306694, 127.456829"
100,100,동구, 홈플러스(가오점),가오동 홈플러스 앞, 동구 가오동 552,12,"36.306988, 127.457129"
101,101,동구, 은어송마을 4단지 앞,은어송마을 4단지앞/3단지 맞은편, 동구 가오동 555,12,"36.310061, 127.461458"
102,102,동구, 은어송마을 2단지 앞,은어송마을2단지앞/은어송마을풍림아이원아파트 맞은편, 동구 대성동 130-1,9,"36.303717, 127.457698"
103,103,동구, 남부평생교육문화센터,남부평생교육문화센터 앞, 동구 가오동 559-1,15,"36.304070, 127.458916"
104,104,유성구,중앙과학관,"국립 중앙 과학관 내부", 유성구 가정동 54-4,10,"36.375232,127.378133"
105,105,유성구,카이스트 서쪽 쪽문,"카이스트 서쪽 쪽문", 카이스트 서쪽 쪽문,15,"36.364177,127.358845"
106,106,유성구,카이스트 다솜관,카이스트 다솜관, 카이스트 다솜관,15,"36.367989,127.356852"
107,107,유성구,카이스트 세종관,카이스트 세종관, 카이스트 세종관,15,"36.370768,127.366645"
108,108,유성구,목원대,목원대 정문 500m, 유성구 용계동 664-4,15,"36.331955,127.337932"
109,109,서구,서부농협본점 ,"롯데백화점 맞은편/금성백조,풍전삼계탕 앞 버스정류장", 서구 탄방동 1455,15,"36.342378,127.387671"
110,110,서구,용문4가,용문 신협/용문역3번 출구 버스정류장, 서구 용문동 594-10,9,"36.337569,127.392091"
111,111,서구,순복음 교회(수침교 앞),수침교 부근 대전 순복음 교회/구 서부경찰서 부근, 서구 용문동 249-11,13,"36.335726,127.396603"
112,112,서구,나르메아파트길건너,레미안@115동116동 맞은편 버스정류장/가톨릭 정형외과 앞, 서구 가장동 45-8,15,"36.331931,127.385353"
113,113,서구,가장교(성은사 앞),GS LPG 주유소 버스정류장, 서구 가장동 31-7,13,"36.328502,127.388001"
114,114,중구,태평동성당,태평중학교 후문/호암 웨딩홀 맞은편/토들러 어학원 앞 버스정류장, 중구 태평동 346-1,13,"36.329742,127.396777"
115,115,동구,한전건너편,,동구 용전동 45-1,13,"36.357491,127.434317"
116,116,동구,홈플러스(동대전),,동구 용전동 51-17,13,"36.35394,127.434754"
117,117,동구,동부네거리,,동구 용전동 111-26,13,"36.350417,127.440376"
118,118,동구,복합터미널,,동구 용전동 143-16,13,"36.348576,127.435076"
119,119,동구,용전동 천주교회앞,,동구 용전동 144-1,13,"36.34952,127.432759"
120,120,동구,한국통신 용전지점 앞,,동구 용전동 167-20,13,"36.353089,127.43219"
121,121,동구,용전동 주민센터 건너,,동구 용전동 44-2,12,"36.357427,127.433048"
